2025-10-17 10:31:30.921 | INFO     | app.core.logging_config:setup_logging:60 - Configuração de logging concluída e interceptadores ativados.
2025-10-17 10:31:36.867 | INFO     | main:log_requests:47 - Request: POST /api/v1/users/ | Status: 422 | Duration: 0.00ms
2025-10-17 10:31:58.938 | INFO     | main:log_requests:47 - Request: POST /api/v1/users/ | Status: 422 | Duration: 1.08ms
2025-10-17 10:32:32.627 | INFO     | main:log_requests:47 - Request: GET /docs | Status: 200 | Duration: 1.00ms
2025-10-17 10:32:32.825 | INFO     | main:log_requests:47 - Request: GET /openapi.json | Status: 200 | Duration: 61.81ms
2025-10-17 10:33:25.828 | DEBUG    | logging:callHandlers:1706 - detected 'bcrypt' backend, version '3.2.0'
2025-10-17 10:33:25.828 | DEBUG    | logging:callHandlers:1706 - 'bcrypt' backend lacks $2$ support, enabling workaround
2025-10-17 10:33:26.112 | INFO     | main:log_requests:47 - Request: POST /api/v1/users/ | Status: 201 | Duration: 691.47ms
2025-10-17 10:33:27.499 | INFO     | main:log_requests:47 - Request: POST /api/v1/users/ | Status: 401 | Duration: 3.29ms
2025-10-17 10:33:40.830 | INFO     | main:log_requests:47 - Request: POST /api/v1/users/ | Status: 401 | Duration: 0.61ms
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_start with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_name with data[0:10]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_data with data[11:19]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_end with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_start with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_name with data[20:28]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_data with data[29:48]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_end with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_start with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_name with data[49:57]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_data with data[58:66]
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_field_end with no data
2025-10-17 10:34:08.290 | DEBUG    | logging:callHandlers:1706 - Calling on_end with no data
